product_type,sku,price,availability,number_of_products_sold,revenue_generated,customer_demographics,stock_levels,lead_times,order_quantities,shipping_times,shipping_carriers,shipping_costs,supplier_name,location,lead_time,production_volumes,manufacturing_lead_time,manufacturing_costs,inspection_results,defect_rates,transportation_modes,routes,costs,otif,shipment_delay_days,freight_cost_per_unit,total_cogs,inventory_value,inventory_turnover,inventory_turnover_capped,ccc,supplier_concentration_hhi,transit_time_variance,safety_stock_days,transport_otif_rate,transport_avg_delay
skincare,SKU66,26.03486977396209,52,704,8367.721618020154,Female,13,17,19,8,Carrier A,2.216142728771364,Supplier 5,Kolkata,24,867,28,42.08443673830996,Fail,3.4480632883402618,Road,Route A,393.8433485784279,1,-9,0.003147930012459324,29627.443463770214,338.4533070615072,87.53775733793026,87.53775733793026,-3,0.05081365111241233,2.646986200891954,3.388142337141701,0.7931034482758621,-12.413793103448276
skincare,SKU67,87.75543235400107,16,513,9473.798032508335,Unknown,12,9,71,9,Carrier C,9.147811544710631,Supplier 1,Mumbai,10,198,11,7.057876146978231,Pass,0.1319554443118148,Sea,Route C,169.2718013847869,1,0,0.017831991315225403,3620.6904633998324,1053.0651882480129,3.438239630182424,3.438239630182424,7,0.054743293983577745,2.585847962779267,3.309885392357462,0.7647058823529411,-5.0588235294117645
haircare,SKU68,37.93181238279032,29,163,3550.218432780992,Non-binary,0,8,58,8,Carrier B,1.1942518648849991,Supplier 2,Bangalore,2,375,18,97.1135815634622,Fail,1.98346787217418,Rail,Route A,299.7063031181032,1,0,0.007326698557576681,15829.513794844339,0.0,,,-2,0.06711712125358041,2.972092416687835,3.804278293360429,0.7857142857142857,-8.321428571428571
skincare,SKU69,54.86552851706979,62,511,1752.3810874841247,Non-binary,95,1,27,3,Carrier B,9.705286790120349,Supplier 4,Kolkata,9,862,7,77.62776581274817,Pending,1.3623879886491086,Air,Route A,207.6632062085756,0,2,0.018992733444462524,39667.78833031431,5212.2252091216305,7.610528466976807,7.610528466976807,-3,0.05081365111241233,2.812204959107025,3.5996223476569917,0.8461538461538461,-13.153846153846153
haircare,SKU70,47.914541824058766,90,32,7014.887987203389,Female,10,12,22,4,Carrier B,6.315717754600723,Supplier 1,Bangalore,22,775,16,11.440781823761265,Pass,1.830575598612232,Road,Route C,183.272898748711,1,-8,0.19736617983127258,366.1050183603605,479.1454182405877,0.7640791384475526,0.7640791384475526,0,0.06711712125358041,2.585847962779267,3.309885392357462,0.7931034482758621,-12.413793103448276
cosmetics,SKU71,6.381533162747966,14,637,8180.337085425443,Female,76,2,26,6,Carrier A,9.228190317052515,Supplier 2,Bangalore,2,258,10,30.66167747785956,Pending,2.078750607874969,Road,Route A,405.1670678888559,0,4,0.014486954971824985,19531.48855339654,484.99652036884544,40.2713993464172,40.2713993464172,-2,0.06711712125358041,2.972092416687835,3.804278293360429,0.7931034482758621,-12.413793103448276
cosmetics,SKU72,90.20442752052809,88,478,2633.121981312256,Non-binary,57,29,77,9,Carrier A,6.599614159689544,Supplier 1,Bangalore,21,152,11,55.76049289524421,Pending,3.213329607438309,Rail,Route B,677.9445698461833,1,-20,0.01380672418345093,26653.515603926735,5141.652368670101,5.183842409560007,5.183842409560007,27,0.06711712125358041,2.585847962779267,3.309885392357462,0.7857142857142857,-8.321428571428571
cosmetics,SKU73,83.8510176813046,41,375,7910.886916140686,Male,17,25,66,5,Carrier B,1.5129368369160772,Supplier 4,Chennai,13,444,4,46.87023879761716,Fail,4.620546064513706,Road,Route A,866.4728001296578,1,-20,0.004034498231776206,17576.339549106437,1425.4673005821783,12.330229912624475,12.330229912624475,26,0.05957290574940114,2.812204959107025,3.5996223476569917,0.7931034482758621,-12.413793103448276
haircare,SKU74,3.170011413566155,64,904,5709.945295969287,Female,41,6,1,5,Carrier A,5.237654650037448,Supplier 4,Delhi,1,919,9,80.58085215644782,Fail,0.3966127241099354,Rail,Route A,341.55265678322337,1,-1,0.005793865763315761,72845.09034942882,129.97046795621236,560.4741715169531,280.1014772771418,2,0.08069848213703432,2.812204959107025,3.5996223476569917,0.7857142857142857,-8.321428571428571
skincare,SKU75,92.99688423397066,29,106,1889.073589779335,Non-binary,16,20,56,10,Carrier C,2.473897761045461,Supplier 1,Chennai,25,759,11,48.06478264000659,Pass,2.030069088668752,Air,Route C,873.1296480176514,1,-10,0.023338658123070385,5094.866959840699,1487.9501477435306,3.4240844476994345,3.4240844476994345,19,0.05957290574940114,2.585847962779267,3.309885392357462,0.8461538461538461,-13.153846153846153
haircare,SKU76,69.10879954743032,23,241,5328.375984297758,Male,38,1,22,10,Carrier A,7.054538336836926,Supplier 2,Bangalore,25,985,24,64.32359779560022,Pending,2.1800374515822165,Rail,Route A,997.4134501331946,0,9,0.029271943306377286,15501.987068739654,2626.1343828023523,5.902967940352488,5.902967940352488,-13,0.06711712125358041,2.972092416687835,3.804278293360429,0.7857142857142857,-8.321428571428571
haircare,SKU77,57.44974295897148,14,359,2483.7601775427947,Unknown,96,28,57,4,Carrier B,6.780946625617895,Supplier 1,Kolkata,26,334,5,42.95244474899184,Pass,3.055141818307548,Road,Route B,852.56809891985,1,-24,0.018888430712027563,15419.92766488807,5515.175324061262,2.795908880287989,2.795908880287989,27,0.05081365111241233,2.585847962779267,3.309885392357462,0.7931034482758621,-12.413793103448276
haircare,SKU78,6.306883176111915,50,946,1292.4584179377562,Unknown,5,4,51,5,Carrier B,8.46704977086199,Supplier 5,Mumbai,25,858,21,71.12651472040338,Pending,4.096881332470452,Sea,Route C,323.59220343132216,0,1,0.008950369736640582,67285.68292550159,31.53441588055958,2133.7221903952263,280.1014772771418,-12,0.054743293983577745,2.646986200891954,3.388142337141701,0.7647058823529411,-5.0588235294117645
haircare,SKU79,57.05703122110322,56,198,7888.723268427081,Non-binary,31,25,20,1,Carrier B,6.4963253642950445,Supplier 3,Bangalore,5,228,12,57.87090292403628,Pending,0.1658716274806082,Air,Route C,351.50421933503867,1,-24,0.03280972406209618,11458.438778959184,1768.7679678542,6.478203465466481,6.478203465466481,14,0.06711712125358041,2.7825989906663056,3.561726708052871,0.8461538461538461,-13.153846153846153
skincare,SKU80,91.12831835044432,75,872,8651.672682982065,Unknown,39,14,41,2,Carrier C,2.8331846794189746,Supplier 3,Chennai,8,202,5,76.96122802382001,Fail,2.8496621985053308,Sea,Route B,787.7798504943445,1,-12,0.0032490649993336864,67110.19083677106,3554.0044156673284,18.88297902527223,18.88297902527223,11,0.05957290574940114,2.7825989906663056,3.561726708052871,0.7647058823529411,-5.0588235294117645
haircare,SKU81,72.81920693031822,9,774,4384.413400045863,Unknown,48,6,8,5,Carrier B,4.066277501512044,Supplier 3,Delhi,28,698,1,19.789592941903603,Pending,2.547547121548712,Rail,Route B,276.77833594679885,1,-1,0.005253588503245535,15317.144937033388,3495.3219326552744,4.382184311531352,4.382184311531352,10,0.08069848213703432,2.7825989906663056,3.561726708052871,0.7857142857142857,-8.321428571428571
skincare,SKU82,17.034930739467917,13,336,2943.3818676094515,Unknown,42,19,72,1,Carrier A,4.70818187354193,Supplier 2,Mumbai,6,955,26,4.46527843494324,Pending,4.137877048622357,Road,Route C,589.9785556280407,1,-18,0.014012446052208125,1500.3335541409288,715.4670910576525,2.0969986920335257,2.0969986920335257,-6,0.054743293983577745,2.972092416687835,3.804278293360429,0.7931034482758621,-12.413793103448276
haircare,SKU83,68.91124621160633,82,663,2411.754632110491,Unknown,65,24,7,8,Carrier B,4.949839577996949,Supplier 1,Bangalore,20,443,5,97.73059380053304,Fail,0.7730061340672478,Road,Route A,682.9710182260933,1,-16,0.0074658213846107825,64795.383689753406,4479.231003754411,14.465738345587239,14.465738345587239,27,0.06711712125358041,2.585847962779267,3.309885392357462,0.7931034482758621,-12.413793103448276
haircare,SKU84,89.10436729210225,99,618,2048.2900998487103,Unknown,73,26,80,10,Carrier A,8.381615624922631,Supplier 5,Chennai,24,589,22,33.808636513209095,Pass,4.843456577118041,Air,Route B,465.457005963688,1,-16,0.013562484829971895,20893.73736516322,6504.618812323464,3.2121386307186124,3.2121386307186124,14,0.05957290574940114,2.646986200891954,3.388142337141701,0.8461538461538461,-13.153846153846153
cosmetics,SKU85,76.96299441519388,83,25,8684.613059253858,Female,15,18,66,2,Carrier C,8.249168704871728,Supplier 5,Chennai,4,211,2,69.9293455186723,Fail,1.3744289997457582,Road,Route B,842.6868300046415,0,-16,0.32996674819486915,1748.2336379668077,1154.4449162279082,1.5143499818762032,1.5143499818762032,18,0.05957290574940114,2.646986200891954,3.388142337141701,0.7931034482758621,-12.413793103448276
skincare,SKU86,19.99817694040422,18,223,1229.5910285649834,Unknown,32,14,22,6,Carrier B,1.4543053101535517,Supplier 1,Mumbai,4,569,18,74.60896999519468,Pass,2.0515129307662465,Rail,Route A,264.2548898358665,1,-8,0.006521548476024895,16637.800308928414,639.9416620929351,25.998932862902432,25.998932862902432,2,0.054743293983577745,2.585847962779267,3.309885392357462,0.7857142857142857,-8.321428571428571
haircare,SKU87,80.41403665035574,24,79,5133.846701086692,Male,5,7,55,10,Carrier A,6.575803797548535,Supplier 3,Chennai,27,523,17,28.69699682414317,Fail,3.693737787839276,Sea,Route B,879.3592177349243,0,3,0.08323802275377892,2267.0627491073105,402.0701832517787,5.638475180557377,5.638475180557377,0,0.05957290574940114,2.7825989906663056,3.561726708052871,0.7647058823529411,-5.0588235294117645
cosmetics,SKU88,75.27040697572501,58,737,9444.74203306298,Male,60,18,85,7,Carrier A,3.8012531329310777,Supplier 2,Mumbai,21,953,11,68.18491905704117,Pending,0.722204401882931,Sea,Route A,103.91624796070496,1,-11,0.00515773830791191,50252.285345039345,4516.2244185435,11.127056737637918,11.127056737637918,14,0.054743293983577745,2.972092416687835,3.804278293360429,0.7647058823529411,-5.0588235294117645
cosmetics,SKU89,97.76008558193868,10,134,5924.682566853231,Unknown,90,1,27,8,Carrier B,9.92981624527726,Supplier 1,Kolkata,23,370,11,46.60387338164447,Pending,1.9076657339590744,Rail,Route B,517.4999739290605,0,7,0.07410310630803926,6244.919033140359,8798.407702374481,0.7097783194855819,0.7097783194855819,-2,0.05081365111241233,2.585847962779267,3.309885392357462,0.7857142857142857,-8.321428571428571
skincare,SKU90,13.881913501359142,56,320,9592.633570280312,Non-binary,66,18,96,7,Carrier B,7.674430708112694,Supplier 3,Bangalore,8,585,8,85.67596333579797,Pass,1.2193822244013883,Rail,Route B,990.0784725058112,1,-11,0.02398259596285217,27416.30826745535,916.2062910897033,29.92372845950159,29.92372845950159,17,0.06711712125358041,2.7825989906663056,3.561726708052871,0.7857142857142857,-8.321428571428571
cosmetics,SKU91,62.11196546396179,90,916,1935.206793507599,Male,98,22,85,7,Carrier B,7.471514084401146,Supplier 4,Delhi,5,207,28,39.772882502339975,Pending,0.6260018582093946,Rail,Route B,996.7783149506238,1,-15,0.008156674764630072,36431.96037214342,6086.972615468255,5.985234807786433,5.985234807786433,1,0.08069848213703432,2.812204959107025,3.5996223476569917,0.7857142857142857,-8.321428571428571
cosmetics,SKU92,47.71423307582023,44,276,2100.1297546259366,Male,90,25,10,8,Carrier B,4.469500026123601,Supplier 2,Mumbai,4,671,29,62.61269039561434,Pass,0.3334318252247392,Rail,Route B,230.0927825367629,1,-17,0.016193840674360874,17281.102549189556,4294.280976823821,4.0242132833076,4.0242132833076,4,0.054743293983577745,2.972092416687835,3.804278293360429,0.7857142857142857,-8.321428571428571
haircare,SKU93,69.29083100290549,88,114,4531.4021336919095,Unknown,63,17,66,1,Carrier C,7.0064320590043945,Supplier 4,Chennai,21,824,20,35.63365234334388,Fail,4.165781795424145,Air,Route A,823.5238458881558,1,-16,0.06145993034214381,4062.2363671412027,4365.322353183046,0.9305696208618263,0.9305696208618263,-2,0.05957290574940114,2.812204959107025,3.5996223476569917,0.8461538461538461,-13.153846153846153
cosmetics,SKU94,3.037688724631414,97,987,7888.356546661873,Unknown,77,26,72,9,Carrier B,6.942945942032581,Supplier 2,Delhi,12,908,14,60.38737861486212,Pass,1.4636074984727798,Rail,Route B,846.6652569866948,1,-17,0.007034393051704743,59602.342692868915,233.9020317966189,254.81755004460152,254.81755004460152,21,0.08069848213703432,2.972092416687835,3.804278293360429,0.7857142857142857,-8.321428571428571
haircare,SKU95,77.90392721944775,65,672,7386.363944048664,Unknown,15,14,26,9,Carrier B,8.630338869602754,Supplier 4,Mumbai,18,450,26,58.89068576858998,Pending,1.2108821295850665,Air,Route A,778.8642413766479,1,-5,0.012842766175004098,39574.540836492466,1168.5589082917163,33.866106839530566,33.866106839530566,-3,0.054743293983577745,2.812204959107025,3.5996223476569917,0.8461538461538461,-13.153846153846153
cosmetics,SKU96,24.42313142037338,29,324,7698.424765632117,Non-binary,67,2,32,3,Carrier C,5.352878043996809,Supplier 3,Mumbai,28,648,28,17.80375633139127,Pending,3.872047681482133,Road,Route A,188.74214114905692,0,1,0.01652122853085435,5768.417051370771,1636.3498051650165,3.5251735497894106,3.5251735497894106,-23,0.054743293983577745,2.7825989906663056,3.561726708052871,0.7931034482758621,-12.413793103448276
haircare,SKU97,3.526111259143416,56,62,4370.916579984536,Male,46,19,4,9,Carrier A,7.904845611209675,Supplier 4,Mumbai,10,535,13,65.76515592636746,Fail,3.376237834717981,Road,Route A,540.1324228679678,1,-10,0.12749750985822056,4077.439667434782,162.20111792059714,25.138172410321026,25.138172410321026,15,0.054743293983577745,2.812204959107025,3.5996223476569917,0.7931034482758621,-12.413793103448276
skincare,SKU98,19.7546048668786,43,913,8525.952559683526,Female,53,1,27,7,Carrier B,1.409801095138073,Supplier 5,Chennai,28,581,9,5.604690864371781,Pending,2.908122169351261,Rail,Route A,882.1988635470415,0,6,0.0015441413966463013,5117.082759171436,1046.9940579445658,4.887403820817449,4.887403820817449,-1,0.05957290574940114,2.646986200891954,3.388142337141701,0.7857142857142857,-8.321428571428571
haircare,SKU99,68.51783269927664,17,627,9185.185829181704,Unknown,55,8,59,6,Carrier B,1.3110237561206226,Supplier 2,Chennai,29,921,2,38.07289852062604,Fail,0.3460272907055034,Rail,Route B,210.7430089642461,1,-2,0.0020909469794587283,23871.707372432527,3768.4807984602153,6.334570520350376,6.334570520350376,12,0.05957290574940114,2.972092416687835,3.804278293360429,0.7857142857142857,-8.321428571428571
